1,A,TW,德威航空              , 663, A2,2017/06/05,00:05:00,2017/06/05,00:12:23,TAE,Taegu,大邱,已到ARRIVED            ,B737-800,,,,   ,    
1,A,CI,中華航空              , 928, D1,2017/06/05,00:05:00,2017/06/05,00:29:00,HKG,Hong Kong,香港,已到ARRIVED            ,B747-400,,,,   ,    
1,A,CI,中華航空              ,163D, D2,2017/06/05,00:05:00,2017/06/05,00:20:00,ICN,Incheon,仁川,已到ARRIVED            ,        ,,,,   ,    
1,A,5J,宿霧航空              , 310, A5,2017/06/05,00:10:00,2017/06/05,00:21:53,MNL,Manila,馬尼拉,已到ARRIVED            ,A330-300,,,,   ,    
1,A,IT,台灣虎航              , 506,B1R,2017/06/05,00:10:00,2017/06/05,00:24:45,DMK,DMK,廊曼,已到ARRIVED            ,A320-232,,,,   ,    
2,A,BR,長榮航空              , 179, D3,2017/06/05,00:10:00,2017/06/04,23:36:42,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,A321-200,,,,   ,    
2,A,NH,全日本空輸            ,5841, D3,2017/06/05,00:10:00,2017/06/04,23:36:42,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,        ,,,,   ,    
1,A,TZ,酷航                  , 205, B9,2017/06/05,00:20:00,2017/06/05,00:06:54,ICN,Incheon,仁川,已到ARRIVED            ,B787-9  ,,,,   ,    
1,A,GK,捷星日本              ,  51, A7,2017/06/05,00:25:00,2017/06/04,23:56:03,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,A320    ,,,,   ,    
1,A,JW,香草航空              , 177, B3,2017/06/05,00:30:00,2017/06/05,02:26:23,KIX,Osaka Kansai,大阪/關西,已到ARRIVED            ,A320-200,,,,   ,    
1,A,CX,國泰航空              , 408, B6,2017/06/05,00:35:00,2017/06/05,00:44:40,HKG,Hong Kong,香港,已到ARRIVED            ,B777-300,,,,   ,    
1,A,KA,國泰港龍              ,5408, B6,2017/06/05,00:35:00,2017/06/05,00:44:40,HKG,Hong Kong,香港,已到ARRIVED            ,        ,,,,   ,    
1,A,FE,遠東航空              , 502, A4,2017/06/05,00:40:00,2017/06/05,00:59:54,REP,SIEM REAP,吳哥窟/暹粒,已到ARRIVED            ,MD83    ,,,,   ,    
2,A,HX,香港航空              , 284, C1,2017/06/05,00:40:00,2017/06/05,00:16:26,HKG,Hong Kong,香港,已到ARRIVED            ,A330-300,,,,   ,    
2,A,BR,長榮航空              ,2896, C1,2017/06/05,00:40:00,2017/06/05,00:16:26,HKG,Hong Kong,香港,已到ARRIVED            ,        ,,,,   ,    
1,A,IT,台灣虎航              , 308,B1R,2017/06/05,00:45:00,2017/06/05,00:32:42,MFM,Macau,澳門,已到ARRIVED            ,A320-232,,,,   ,    
1,A,JW,香草航空              , 107, B7,2017/06/05,00:55:00,2017/06/05,00:50:35,NRT,Tokyo,東京,已到ARRIVED            ,A320-214,,,,   ,    
1,A,Z2,菲亞航                , 128, A7,2017/06/05,01:20:00,2017/06/05,01:23:02,MNL,Manila,馬尼拉,已到ARRIVED            ,A320    ,,,,   ,    
2,A,BR,長榮航空              ,  55, C2,2017/06/05,04:30:00,2017/06/05,04:11:28,ORD,Chicago,芝加哥,已到ARRIVED            ,B777-300,,,,   ,    
2,A,SQ,新加坡航空            ,5821, C2,2017/06/05,04:30:00,2017/06/05,04:11:28,ORD,Chicago,芝加哥,已到ARRIVED            ,        ,,,,   ,    
2,A,TG,泰國航空              ,6349, C2,2017/06/05,04:30:00,2017/06/05,04:11:28,ORD,Chicago,芝加哥,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,  35, C7,2017/06/05,04:55:00,2017/06/05,04:36:41,YYZ,Toronto,多倫多,已到ARRIVED            ,B777-300,,,,   ,    
2,A,SQ,新加坡航空            ,5835, C7,2017/06/05,04:55:00,2017/06/05,04:36:41,YYZ,Toronto,多倫多,已到ARRIVED            ,        ,,,,   ,    
2,A,TG,泰國航空              ,6347, C7,2017/06/05,04:55:00,2017/06/05,04:36:41,YYZ,Toronto,多倫多,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,   9, C9,2017/06/05,05:00:00,2017/06/05,04:48:06,YVR,Vancouver,溫哥華,已到ARRIVED            ,B747-400,,,,   ,    
2,A,TG,泰國航空              ,6345, C9,2017/06/05,05:00:00,2017/06/05,04:48:06,YVR,Vancouver,溫哥華,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5809, C9,2017/06/05,05:00:00,2017/06/05,04:48:06,YVR,Vancouver,溫哥華,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,  25, C5,2017/06/05,05:10:00,2017/06/05,04:32:11,SEA,Seattle,西雅圖,已到ARRIVED            ,B777-300,,,,   ,    
2,A,TG,泰國航空              ,6337, C5,2017/06/05,05:10:00,2017/06/05,04:32:11,SEA,Seattle,西雅圖,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5825, C5,2017/06/05,05:10:00,2017/06/05,04:32:11,SEA,Seattle,西雅圖,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,  11, C8,2017/06/05,05:10:00,2017/06/05,04:53:03,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,B777-300,,,,   ,    
2,A,AV,哥倫比亞航空          ,4500, C8,2017/06/05,05:10:00,2017/06/05,04:53:03,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5811, C8,2017/06/05,05:10:00,2017/06/05,04:53:03,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,        ,,,,   ,    
2,A,TG,泰國航空              ,6325, C8,2017/06/05,05:10:00,2017/06/05,04:53:03,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,  31, B9,2017/06/05,05:15:00,2017/06/05,05:03:04,JFK,New York,紐約,已到ARRIVED            ,B777-300,,,,   ,    
2,A,AV,哥倫比亞航空          ,4506, B9,2017/06/05,05:15:00,2017/06/05,05:03:04,JFK,New York,紐約,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5831, B9,2017/06/05,05:15:00,2017/06/05,05:03:04,JFK,New York,紐約,已到ARRIVED            ,        ,,,,   ,    
2,A,TG,泰國航空              ,6343, B9,2017/06/05,05:15:00,2017/06/05,05:03:04,JFK,New York,紐約,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,   7,C10,2017/06/05,05:15:00,2017/06/05,04:40:50,SFO,San Francisco,舊金山,已到ARRIVED            ,B777-300,,,,   ,    
2,A,TG,泰國航空              ,6329,C10,2017/06/05,05:15:00,2017/06/05,04:40:50,SFO,San Francisco,舊金山,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5807,C10,2017/06/05,05:15:00,2017/06/05,04:40:50,SFO,San Francisco,舊金山,已到ARRIVED            ,        ,,,,   ,    
2,A,CI,中華航空              ,   7, A9,2017/06/05,05:30:00,2017/06/05,05:44:00,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,B777-300,,,,   ,    
2,A,VN,越南航空              ,2033, A9,2017/06/05,05:30:00,2017/06/05,05:44:00,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,        ,,,,   ,    
2,A,DL,達美航空              ,7730, A9,2017/06/05,05:30:00,2017/06/05,05:44:00,LAX,Los Angeles,洛杉磯,已到ARRIVED            ,        ,,,,   ,    
2,A,BR,長榮航空              ,  17, B8,2017/06/05,05:30:00,2017/06/05,05:35:58,SFO,San Francisco,舊金山,已到ARRIVED            ,B777-300,,,,   ,    
2,A,TG,泰國航空              ,6331, B8,2017/06/05,05:30:00,2017/06/05,05:35:58,SFO,San Francisco,舊金山,已到ARRIVED            ,        ,,,,   ,    
2,A,AV,哥倫比亞航空          ,4504, B8,2017/06/05,05:30:00,2017/06/05,05:35:58,SFO,San Francisco,舊金山,已到ARRIVED            ,        ,,,,   ,    
2,A,SQ,新加坡航空            ,5817, B8,2017/06/05,05:30:00,2017/06/05,05:35:58,SFO,San Francisco,舊金山,已到ARRIVED            ,        ,,,,   ,    
2,A,CI,中華航空              ,  11, D4,2017/06/05,05:30:00,2017/06/05,04:59:00,JFK,New York,紐約,已到ARRIVED            ,B777-300,,,,   ,    
2,A,VN,越南航空              ,3009, D4,2017/06/05,05:30:00,2017/06/05,04:59:00,JFK,New York,紐約,已到ARRIVED            ,        ,,,,   ,    
2,A,CI,中華航空              , 564, D8,2017/06/05,05:35:00,2017/06/05,05:49:00,URC,Urumqi,烏魯木齊,已到ARRIVED            ,A330-300,,,,   ,    
